AC,AC_50_P,AC_50_C,AC_35_P,AC_40_P,AC_45_P,AC_60_C,AC_50_P_2,AC_50_C_2,AC_50_CO,AC_40_BP,AC_45_KO,Max_Loss,Max_Profit,Avg_PnL,Net_Delta,Net_Gamma
200,8,9,14,-33,4,-18,3,1,7,-8,63,-86064.3997207312,101896.00131498354,2048.737994568612,199.05977819812597,-398.85949665160706
133,-1,-1,-20,16,9,30,15,-1,-28,4,-75,-177402.34881307237,343550.0795583242,6917.658624092003,130.6364222403422,512.2002170926235
131,21,25,-22,-20,-17,-40,2,0,11,20,-89,-231933.11236882544,123779.3704490095,-51827.56124856801,132.58871142615405,557.5028803189782
-1,20,-11,20,3,6,13,5,-29,29,-63,13,-182369.71954446443,295845.01653969014,-10970.746868966375,11.972482677596535,766.8671228179317
14,-18,9,5,-19,25,0,0,-4,-14,92,-5,-98130.27764714531,228614.01233099127,12026.739970071096,-5.684484168006214,-535.1926461244727
16,34,27,-4,-7,-15,4,0,-20,-5,94,-18,-129649.32683564725,273915.068818964,26899.017259656786,-18.999291936503123,-351.3061426360147
-26,-8,23,13,-39,-14,-7,-14,32,25,53,-14,-332198.23830906,191465.87108082467,-79621.88795954033,-12.399043957059632,-92.53163989635686
3,5,17,10,-16,7,8,-1,-11,-8,114,8,-115744.84664891295,207550.1086505998,23324.63461741829,6.458369053798938,-519.1430012906777
-45,15,2,25,48,-19,-10,17,-8,-1,142,-16,-279433.67546475003,471119.08222922,12970.268519793248,-9.68275846140819,-569.1993680573809
1,-48,-17,-15,17,43,-1,6,3,-15,-134,36,-229011.3727915502,223022.61220057143,-26828.77817581094,36.593876060709185,369.8595132435561
-13,28,-17,27,22,-11,6,-2,-15,-4,55,-11,-101707.79251721257,206141.58723232304,15574.35477817455,-12.058174214478303,-201.04328133860673
2,8,-34,29,15,-7,-7,3,-5,-20,-70,5,-125208.18450807862,119926.70668123456,-1098.0965624342937,6.434568352916778,81.850329505036
-12,-50,-34,-1,-30,19,13,-8,39,2,133,15,-401495.3966931126,393521.4868073053,-47789.64697292119,12.793950515106754,-743.1127591553185
2,-40,-10,14,-25,32,8,0,10,-30,72,14,-153128.38181755476,195545.90494043374,4750.685292072699,13.445102818243127,-716.5272647649145
-23,-9,-19,-47,36,-28,22,3,29,-50,196,-14,-325656.3087971999,375748.87159744237,23181.668273482966,-15.530026449118566,-1580.2799281702462
18,-22,-15,32,-44,18,4,1,5,-18,38,12,-89177.09212534243,125339.10321181596,-3615.4268781092123,11.55542769390801,-402.6200949764719
39,19,15,-40,2,-11,1,-1,-8,-38,41,-29,-60224.065019374335,148768.27340342847,31713.428726582868,-29.255846533315562,-586.8938245957241
32,13,-2,0,-27,-12,1,-1,0,-14,19,-19,-41384.62941770358,65463.35495954434,5250.763847386083,-19.47601983911676,-252.36232251156008
32,13,-2,0,-27,-12,1,-1,0,-14,19,-19,-41384.62941770358,65463.35495954434,5250.763847386083,-19.47601983911676,-252.36232251156008
-44,2,35,-22,31,-1,2,-3,0,29,31,-2,-121729.30649224961,48223.21370844474,-33454.891029312195,-1.9590799623618154,217.03373425116163,-1229044.5825266924
-44,2,35,-22,31,-1,2,-3,0,29,31,-2,-121729.30649224961,48223.21370844474,-33454.891029312195,-1.9590799623618154,217.03373425116163,-1229044.5825266924
